CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
ATROPELLO;HERIDOS;CALI-CANDELARIA;JUANCHITO;MARTES;6/07/2021;12:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;MIERCOLES;7/07/2021;4:00:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;8/07/2021;6:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;VIERNES;9/07/2021;12:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;SAN JOAQUIN;DOMINGO;11/07/2021;2:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;DOMINGO;11/07/2021;10:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;LUNES;12/07/2021;12:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;14/07/2021;7:50:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;JUEVES;15/07/2021;3:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;DOMINGO;18/07/2021;7:40:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;DOMINGO;18/07/2021;N/A
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;LUNES;19/07/2021;5:45:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-FLORIDA;CANDELARIA;LUNES;19/07/2021;7:20:00 p. m.
CHOQUE;HERIDOS;Via interna;POBLADO CAMPESTRE;MARTES;20/07/2021;11:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;21/07/2021;3:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;22/07/2021;5:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;23/07/2021;7:40:00 p. m.
ATROPELLO;HERIDOS;CALI-FLORIDA;CANDELARIA;VIERNES;23/07/2021;2:50:00 p. m.
CHOQUE;DAÑOS;PALMIRA-VILLA RICA;CANDELARIA;DOMINGO;25/07/2021;N/A
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;LUNES;26/07/2021;4:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;26/07/2021;3:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;26/07/2021;5:15:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;28/07/2021;1:55:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;29/07/2021;7:55:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;VIERNES;30/07/2021;7:07:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;31/07/2021;9:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;1/08/2021;12:10:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MIERCOLES;4/08/2021;8:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;4/08/2021;11:00:00 a. m.
CHOQUE;DAÑOS;CANDELARIA-FLORIDA;CANDELARIA;VIERNES;6/08/2021;10:00:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;VIERNES;6/08/2021;1:40:00 p. m.
VOLCAMIENTO;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;VIERNES;6/08/2021;2:40:00 p. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL ARENAL;DOMINGO;8/08/2021;12:30:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;DOMINGO;8/08/2021;9:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;8/08/2021;5:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;9/08/2021;5:50:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;9/08/2021;7:30:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;MARTES;10/08/2021;5:50:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;MARTES;10/08/2021;4:00:00 p. m.
ATROPELLO;HERIDOS;CANDELARIA;EL CABUYAL;MIERCOLES;11/08/2021;10:40:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;JUEVES;12/08/2021;9:10:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;13/08/2021;6:05:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MARTES;17/08/2021;6:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;JUEVES;19/08/2021;5:30:00 p. m.
CHOQUE;HERIDOS;CANDELARIA-CALI;VILLAGORGONA;VIERNES;20/08/2021;N/A
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;21/08/2021;3:50:00 a. m.
